County,Bachelors or less,Masters or more,Associates,Bachelors,Masters,Juris Doctor,PhD
Alameda County ,7519,3112,176,7310,2995,3,114
Alpine County ,9,2,0,9,2,0,0
Amador County ,169,35,0,169,33,0,2
Butte County ,1341,247,1,1339,241,0,6
Calaveras County ,240,81,3,236,79,0,2
Colusa County ,196,55,1,195,54,0,1
Contra Costa County ,6013,2108,1,6007,2047,0,61
Del Norte County ,196,27,0,193,26,0,1
El Dorado County ,1096,365,1,1090,362,0,3
Fresno County ,6878,2167,3,6692,2127,7,33
Glenn County ,256,38,0,255,38,0,0
Humboldt County ,795,176,4,788,172,2,2
Imperial County ,980,681,9,965,671,1,9
Inyo County ,143,86,1,140,82,1,3
Kern County ,5622,2628,8,5606,2595,0,33
Kings County ,1127,487,1,1124,476,1,10
Lake County ,376,85,2,372,82,0,3
Lassen County ,209,57,0,206,57,0,0
Los Angeles County ,37986,34404,166,36749,33569,76,759
Madera County ,1105,327,1,1101,322,0,5
Marin County ,1120,670,0,1115,643,0,27
Mariposa County ,96,25,0,96,23,0,2
Mendocino County ,614,179,1,608,172,0,7
Merced County ,2060,432,1,2055,428,0,4
Modoc County ,85,23,0,85,23,0,0
Mono County ,95,34,0,91,34,0,0
Monterey County ,2213,1038,5,2198,1015,0,23
Napa County ,771,260,2,769,253,0,7
Nevada County ,475,182,3,472,178,0,4
Orange County ,8809,11572,4,8798,11406,0,166
Placer County ,2290,964,0,2285,951,1,12
Plumas County ,11,6,0,11,6,0,0
Riverside County ,6778,10970,15,6735,10828,4,138
Sacramento County ,7127,3665,7,7045,3554,10,101
San Benito County ,364,100,0,364,96,0,4
San Bernardino County ,9999,7650,43,9873,7518,20,112
San Diego County ,10187,12949,10,10068,12762,16,171
San Francisco County ,1028,824,0,1027,816,1,7
San Joaquin County ,4368,2079,3,4332,2040,0,39
San Luis Obispo County ,1182,544,0,1182,541,0,3
San Mateo County ,3035,1840,0,3032,1797,2,41
Santa Barbara County ,1847,1336,0,1845,1316,0,20
Santa Clara County ,7443,5286,6,7413,5149,2,135
Santa Cruz County ,1337,527,0,1337,516,0,11
Shasta County ,1047,294,1,1044,291,0,3
Sierra County ,24,8,0,23,7,0,1
Siskiyou County ,300,78,3,295,76,0,2
Solano County ,2032,889,3,2017,866,0,23
Sonoma County ,2857,929,0,2853,901,2,26
Stanislaus County ,3952,854,2,3939,842,0,12
Sutter County ,900,352,0,896,347,0,5
Tehama County ,467,80,2,463,78,1,1
Trinity County ,86,30,0,86,30,0,0
Tulare County ,2996,1301,0,2988,1292,3,6
Tuolumne County ,369,176,2,361,171,2,3
Ventura County ,3363,2922,7,3339,2881,6,35
Yolo County ,1073,416,0,1072,399,0,17
Yuba County ,569,133,0,549,128,0,5
